,index,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWinRate,AwayWinRate,isWin
67,67,1.125,1.625,0.5,0.5,9.625,11.75,3.0,5.75,17.125,15.25,4.0,4.0,2.125,2.0,0.0,0.375,0.375,0.25,1.0
68,68,2.125,0.875,0.75,0.375,12.625,10.875,5.75,3.75,12.75,17.125,5.5,6.5,1.625,2.0,0.0,0.0,0.625,0.25,1.0
69,69,3.25,1.625,1.25,1.0,18.75,15.25,8.75,7.25,14.375,15.875,6.5,5.625,1.0,2.0,0.0,0.0,1.0,0.375,0.0
70,70,2.0,1.125,1.125,0.75,11.5,9.0,4.375,3.25,16.5,13.125,5.375,3.875,2.375,2.375,0.125,0.125,0.375,0.25,0.0
71,71,1.0,2.375,0.5,0.875,11.0,14.375,3.75,4.875,16.125,16.375,4.875,6.0,1.375,1.375,0.25,0.0,0.25,0.75,1.0
72,72,2.2222222222222223,0.6666666666666666,0.7777777777777778,0.3333333333333333,14.22222222222222,9.555555555555555,5.111111111111111,2.4444444444444446,16.555555555555557,20.77777777777778,5.888888888888889,3.2222222222222223,1.5555555555555556,2.6666666666666665,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0
73,73,2.2222222222222223,1.1111111111111112,1.0,0.5555555555555556,15.77777777777778,11.333333333333334,6.555555555555555,3.7777777777777777,14.88888888888889,16.22222222222222,7.222222222222222,5.444444444444445,1.3333333333333333,1.4444444444444444,0.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0
74,74,1.2222222222222223,3.0,0.7777777777777778,1.1111111111111112,11.88888888888889,19.22222222222222,4.777777777777778,8.444444444444445,20.33333333333333,14.444444444444445,4.0,7.333333333333333,2.0,1.2222222222222223,0.1111111111111111,0.0,0.4444444444444444,0.8888888888888888,0.0
75,75,2.0,0.5555555555555556,1.0,0.2222222222222222,10.77777777777778,12.555555555555555,4.222222222222222,3.4444444444444446,16.555555555555557,15.0,5.222222222222222,4.666666666666667,2.333333333333333,1.7777777777777777,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,1.0
76,76,1.4444444444444444,2.0,0.4444444444444444,0.6666666666666666,11.22222222222222,13.11111111111111,5.333333333333333,6.0,15.666666666666666,12.666666666666666,3.7777777777777777,5.333333333333333,2.0,1.4444444444444444,0.3333333333333333,0.0,0.2222222222222222,0.6666666666666666,1.0
77,77,1.3333333333333333,1.4444444444444444,0.6666666666666666,0.5555555555555556,9.555555555555555,12.444444444444445,3.888888888888889,4.777777777777778,13.333333333333334,16.444444444444443,4.222222222222222,5.555555555555555,2.2222222222222223,1.8888888888888888,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0
78,78,0.7777777777777778,0.6666666666666666,0.3333333333333333,0.1111111111111111,10.77777777777778,9.77777777777778,3.555555555555556,3.555555555555556,16.88888888888889,20.88888888888889,6.111111111111111,4.555555555555555,2.111111111111111,1.1111111111111112,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,1.0
79,79,1.6666666666666667,0.7777777777777778,1.0,0.2222222222222222,14.11111111111111,7.0,7.0,2.4444444444444446,16.0,14.444444444444445,5.222222222222222,2.555555555555556,1.8888888888888888,1.7777777777777777,0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0
